Name	SideEffectName	MinFrequency	MaxFrequency	MeanFrequency
alprazolam	Vomiting	0.017	0.318	0.16274999999999998
alprazolam	Weight decreased	0.023	0.23	0.13740000000000002
alprazolam	Weight increased	0.027	0.272	0.1598
amantadine	Agitation	0.01	0.01	0.01
amantadine	Alopecia	0.0001	0.0001	0.0001
amantadine	Anorexia	0.01	0.01	0.01
amantadine	Anxiety	0.01	0.01	0.01
amantadine	Ataxia	0.01	0.01	0.01
amantadine	Cardiac failure	0.0001	0.0001	0.0001
amantadine	Cardiac failure congestive	0.0001	0.0001	0.0001
amantadine	Confusional state	0.01	0.01	0.01
amantadine	Constipation	0.01	0.01	0.01
amantadine	Decreased appetite	0.01	0.01	0.01
amantadine	Dizziness	0.01	0.01	0.01
amantadine	Dry mouth	0.01	0.01	0.01
amantadine	Dysarthria	0.01	0.01	0.01
amantadine	Elevated mood	0.01	0.01	0.01
amantadine	Eye disorder	0.0001	0.0001	0.0001
amantadine	Feeling abnormal	0.01	0.01	0.01
amantadine	Hallucination	0.01	0.01	0.01
amantadine	Headache	0.01	0.01	0.01
amantadine	Hyperhidrosis	0.01	0.01	0.01
amantadine	Insomnia	0.01	0.01	0.01
amantadine	Lethargy	0.01	0.01	0.01
amantadine	Leukopenia	0.0001	0.0001	0.0001
amantadine	Livedo reticularis	1.0	1.0	1.0
amantadine	Liver function test abnormal	0.0001	0.0001	0.0001
amantadine	Mental disorder	0.01	0.01	0.01
amantadine	Nausea	0.01	0.01	0.01
amantadine	Nervousness	0.01	0.01	0.01
amantadine	Neuroleptic malignant syndrome	0.0001	0.0001	0.0001
amantadine	Neutropenia	0.0001	0.0001	0.0001
amantadine	Nightmare	0.01	0.01	0.01
amantadine	Oedema peripheral	1.0	1.0	1.0
amantadine	Orthostatic hypotension	0.01	0.01	0.01
amantadine	Osteoarthritis	0.01	0.01	0.01
amantadine	Palpitations	0.01	0.01	0.01
amantadine	Photosensitivity	0.0001	0.0001	0.0001
amantadine	Photosensitivity reaction	0.0001	0.0001	0.0001
amantadine	Sweating increased	0.01	0.01	0.01
amantadine	Tension	0.01	0.01	0.01
amantadine	Vision blurred	0.01	0.01	0.01
amantadine	Vomiting	0.01	0.01	0.01
ambrisentan	Abdominal pain	0.0298507	0.0307692	0.03042373333333333
ambrisentan	Arthralgia	0.00769231	0.0298507	0.018771505
ambrisentan	Aspartate aminotransferase increased	0.0153846	0.0298507	0.02261765
ambrisentan	Asthenia	0.0447761	0.0538462	0.04931115
ambrisentan	Bronchitis	0.0149254	0.0461538	0.0305396
ambrisentan	Chest pain	0.0149254	0.0461538	0.0305396
ambrisentan	Constipation	0.0307692	0.0597015	0.0429283
ambrisentan	Cough	0.0538462	0.0746269	0.06423655
ambrisentan	Dermatitis	0.01	0.01	0.01
ambrisentan	Dizziness	0.0692308	0.0895522	0.0793915
ambrisentan	Dyspnoea	0.0149254	0.0769231	0.04652328
ambrisentan	Dyspnoea exacerbated	0.0149254	0.0769231	0.04592425
ambrisentan	Epistaxis	0.0153846	0.0597015	0.03754305
ambrisentan	Fatigue	0.0447761	0.0538462	0.04931115
ambrisentan	Flushing	0.0149254	0.0384615	0.030567033333333337
ambrisentan	Gastrointestinal pain	0.0298507	0.0307692	0.03042373333333333
ambrisentan	Headache	0.145594	1.0	0.3733675
ambrisentan	Hypersensitivity	0.01	0.01	0.01
ambrisentan	Insomnia	0.0149254	0.0230769	0.01900115
ambrisentan	Migraine	1.0	1.0	1.0
ambrisentan	Musculoskeletal discomfort	0.00769231	0.0298507	0.018771505
ambrisentan	Nasal congestion	0.0538462	0.104478	0.07193183333333335
ambrisentan	Nasopharyngitis	0.0298507	0.0538462	0.03939323333333333
ambrisentan	Nausea	0.0384615	0.0447761	0.0416188
ambrisentan	Oedema peripheral	0.172414	0.283582	0.213537
ambrisentan	Palpitations	0.0384615	0.045977	0.043071533333333335
ambrisentan	Pulmonary hypertension	0.00769231	0.0149254	0.011308855
ambrisentan	Rash	0.01	0.01	0.01
ambrisentan	Right ventricular failure	0.0149254	0.0461538	0.0305396
ambrisentan	Sinus headache	1.0	1.0	1.0
ambrisentan	Sinusitis	0.0306513	0.0447761	0.03539886666666667
ambrisentan	Upper respiratory tract infection	0.0461538	0.0746269	0.060390349999999995
ambrisentan	Urinary tract infection	0.0149254	0.0153846	0.015155
amiloride	Anorexia	0.061	0.061	0.061
amiloride	Decreased appetite	0.061	0.061	0.061
amiloride	Diarrhoea	0.038	0.038	0.038
amiloride	Headache	0.076	0.076	0.076
amiloride	Hyperkalaemia	0.08	0.08	0.08
amiloride	Vomiting	0.033	0.033	0.033
aminophylline	Abdominal pain	0.12	0.21	0.16499999999999998
aminophylline	Atrial fibrillation	0.01	0.12	0.065
aminophylline	Atrial tachycardia	0.0	0.02	0.01
aminophylline	Cardiac flutter	0.01	0.12	0.065
aminophylline	Convulsion	0.05	0.14	0.095
aminophylline	Diarrhoea	0.0	0.14	0.07
aminophylline	Disorientation	0.07	0.11	0.09
aminophylline	Gastrointestinal pain	0.12	0.21	0.16499999999999998
aminophylline	Haematemesis	0.0	0.02	0.01
aminophylline	Haemodynamic instability	0.0	0.4	0.15250000000000002
aminophylline	Hyperglycaemia	0.18	0.98	0.58
aminophylline	Hypokalaemia	0.43	0.85	0.6275000000000001
aminophylline	Hypotension	0.08	0.21	0.145
aminophylline	Multifocal atrial tachycardia	0.0	0.02	0.01
aminophylline	Nervousness	0.21	0.64	0.425
aminophylline	Rhabdomyolysis	0.0	0.07	0.035
aminophylline	Shock	0.08	0.21	0.145
aminophylline	Sinus tachycardia	0.62	1.0	0.8266666666666667
aminophylline	Supraventricular tachycardia	0.02	0.21	0.1225
aminophylline	Tension	0.21	0.64	0.425
aminophylline	Tremor	0.14	0.38	0.24250000000000002
aminophylline	Ventricular arrhythmia	0.0	0.4	0.15250000000000002
aminophylline	Ventricular extrasystoles	0.03	0.21	0.1325
aminophylline	Vomiting	0.3	0.93	0.6425
amiodarone	Alanine aminotransferase increased	0.00489237	0.017199	0.010813323333333333
amiodarone	Aspartate aminotransferase increased	0.00587084	0.017199	0.011321013333333333
amiodarone	Atrial fibrillation	0.00880626	0.0184275	0.01343522
amiodarone	Atrioventricular block	0.0117417	0.017199	0.0143673
amiodarone	Body temperature increased	0.0127202	0.029484	0.020785566666666668
amiodarone	Bradycardia	0.0401174	0.0601966	0.04977786666666667
amiodarone	Cardiac arrest	0.0254403	0.0356265	0.030341066666666666
amiodarone	Cardiac failure congestive	0.0205479	0.03	0.023475675
amiodarone	Cardiogenic shock	0.01	0.01	0.01
amiodarone	Diarrhoea	0.00982801	0.0117417	0.01082097
amiodarone	Electrocardiogram QT prolonged	0.00391389	0.0184275	0.010896663333333334
amiodarone	Hypotension	0.016	0.202703	0.119653
amiodarone	Kidney function abnormal	0.00982801	0.0156556	0.012138877499999999
amiodarone	Liver function test abnormal	0.0283757	0.0429975	0.035410533333333334
amiodarone	Nausea	0.0356265	0.0420744	0.0389722
amiodarone	Nodal arrhythmia	0.0146771	0.0184275	0.0164815
amiodarone	Pulmonary oedema	0.00737101	0.0146771	0.011162003333333335
amiodarone	Renal impairment	0.00982801	0.0156556	0.012138877499999999
amiodarone	Shock	0.0117417	0.0159705	0.013776266666666667
amiodarone	Thrombocytopenia	0.0156556	0.017199	0.016398166666666665
amiodarone	Ventricular fibrillation	0.0127202	0.014742	0.013692933333333332
amiodarone	Ventricular tachycardia	0.0184275	0.0293542	0.023072875
amiodarone	Vomiting	0.0166341	0.019656	0.018088
amisulpride	Abdominal pain	0.01	0.01	0.01
amisulpride	Aggression	0.01	0.01	0.01
amisulpride	Aggressive reaction	0.01	0.01	0.01
amisulpride	Agitation	0.05	0.05	0.05
amisulpride	Akathisia	1.0	1.0	1.0
amisulpride	Amenorrhoea	0.0	0.04	0.02
amisulpride	Anxiety	0.07	0.09	0.08
amisulpride	Asthenia	0.01	0.01	0.01
amisulpride	Bradycardia	0.01	0.01	0.01
amisulpride	Cardiovascular disorder	0.01	0.01	0.01
amisulpride	Constipation	0.03	0.04	0.035
amisulpride	Depression	0.01	0.02	0.015
amisulpride	Diarrhoea	0.01	0.01	0.01
amisulpride	Dizziness	0.0	0.01	0.005
amisulpride	Dry mouth	0.01	0.02	0.015
amisulpride	Dyskinesia	0.01	1.0	0.2725
amisulpride	Dyspepsia	0.0	0.01	0.005
amisulpride	Extrapyramidal disorder	0.11	1.0	0.48
amisulpride	Extrapyramidal symptoms	1.0	1.0	1.0
amisulpride	Fatigue	0.01	0.01	0.01
amisulpride	Galactorrhoea	0.01	0.03	0.02
amisulpride	Gastrointestinal pain	0.01	0.01	0.01
amisulpride	Headache	0.03	0.03	0.03
amisulpride	Hyperglycaemia	0.01	0.01	0.01
amisulpride	Hyperhidrosis	0.0	0.01	0.005
amisulpride	Hypersensitivity	0.01	0.01	0.01
amisulpride	Hypertension	0.0	0.01	0.005
amisulpride	Hypokinesia	1.0	1.0	1.0
amisulpride	Hypotension	0.01	0.01	0.01
amisulpride	Immune system disorder	0.01	0.01	0.01
amisulpride	Insomnia	0.1	0.11	0.10500000000000001
amisulpride	Menstrual disorder	0.0	0.01	0.005
amisulpride	Movements involuntary	0.01	0.01	0.01
amisulpride	Muscle rigidity	0.02	1.0	0.3566666666666667
amisulpride	Nausea	0.02	0.02	0.02
amisulpride	Nervousness	0.02	0.02	0.02
amisulpride	Oculogyric crisis	0.01	0.01	0.01
amisulpride	Orthostatic hypotension	0.0	0.01	0.005
amisulpride	Pruritus	0.0	0.01	0.005
amisulpride	Salivary hypersecretion	0.02	1.0	0.51
amisulpride	Skin disorder	0.0	0.01	0.005
amisulpride	Somnolence	0.03	0.04	0.035
amisulpride	Suicide attempt	0.01	0.02	0.015
amisulpride	Sweating increased	0.0	0.01	0.005
amisulpride	Tardive dyskinesia	0.01	0.01	0.01
amisulpride	Tension	0.02	0.02	0.02
amisulpride	Tremor	0.03	1.0	0.3566666666666667
amisulpride	Vaginal infection	0.01	0.01	0.01
amisulpride	Vaginal inflammation	0.01	0.01	0.01
amisulpride	Vomiting	0.02	0.02	0.02
amisulpride	Weight decreased	0.01	0.02	0.015
amisulpride	Weight increased	0.02	0.06	0.04
amlexanox	Aphthous stomatitis	0.0122249	0.0618557	0.03909
amlexanox	Headache	0.0	0.0146699	0.009319633333333334
amlexanox	Liver function test abnormal	0.00488998	0.00488998	0.00488998
amlexanox	Mouth ulceration	0.0122249	0.0618557	0.03909
amlexanox	Nausea	0.0	0.0166113	0.008797083333333332
amlexanox	Oropharyngeal discomfort	0.00244499	0.0103093	0.00757369
amlexanox	Oropharyngeal pain	0.00244499	0.0103093	0.00757369
amlexanox	Pain	0.0709046	0.0830565	0.07698055000000001
amlexanox	Paraesthesia	0.00733496	0.013289	0.01031198
amlexanox	Stomatitis	0.0122249	0.0618557	0.03909
amlexanox	Throat sore	0.00244499	0.0103093	0.00757369
amlodipine	Abdominal pain	0.016	0.016	0.016
amlodipine	Asthenia	0.045	0.045	0.045
amlodipine	Dizziness	0.011	0.034	0.0225
amlodipine	Fatigue	0.045	0.045	0.045
amlodipine	Flushing	0.003	0.045	0.016999999999999998
amlodipine	Gastrointestinal pain	0.016	0.016	0.016
amlodipine	Headache	0.073	0.073	0.073
amlodipine	Nausea	0.029	0.029	0.029
amlodipine	Oedema	0.014	0.146	0.060428571428571436
amlodipine	Palpitations	0.007	0.045	0.0216
amlodipine	Somnolence	0.003	0.016	0.0108
amoxapine	Constipation	0.12	0.12	0.12
amoxapine	Drowsiness	0.14	0.14	0.14
amoxapine	Dry mouth	0.14	0.14	0.14
amoxapine	Somnolence	0.14	0.14	0.14
amoxapine	Vision blurred	0.07	0.07	0.07
amoxicillin	Abdominal pain	0.00331126	0.00980392	0.00655759
amoxicillin	Acute generalised exanthematous pustulosis	0.0001	0.0001	0.0001
amoxicillin	Agitation	0.0001	0.0001	0.0001
amoxicillin	Agranulocytosis	0.0001	0.0001	0.0001
amoxicillin	Allergic cutaneous angiitis	0.0001	0.0001	0.0001
amoxicillin	Anaphylactic shock	0.0001	0.0001	0.0001
amoxicillin	Angioedema	0.0001	0.0001	0.0001
amoxicillin	Antibiotic associated colitis	0.0001	0.0001	0.0001
amoxicillin	Black hairy tongue	0.0001	0.0001	0.0001
amoxicillin	Clostridium difficile colitis	0.0001	0.0001	0.0001
amoxicillin	Colitis	0.0001	0.0001	0.0001
amoxicillin	Convulsion	0.0001	0.0001	0.0001
amoxicillin	Crystalluria	0.0001	0.0001	0.0001
amoxicillin	Dermatitis exfoliative	0.0001	0.0001	0.0001
amoxicillin	Diarrhoea	0.0165563	0.08	0.046541025
amoxicillin	Dizziness	0.0001	0.0001	0.0001
amoxicillin	Dysgeusia	0.05	0.05	0.05
amoxicillin	Enterocolitis haemorrhagic	0.0001	0.0001	0.0001
amoxicillin	Erythema multiforme	0.0001	0.0001	0.0001
amoxicillin	Gastrointestinal pain	0.00331126	0.00980392	0.00655759
amoxicillin	Haemolytic anaemia	0.0001	0.0001	0.0001
amoxicillin	Headache	0.00980392	0.07	0.0374344225
amoxicillin	Hemorrhagic colitis	0.0001	0.0001	0.0001
amoxicillin	Hepatitis	0.0001	0.0001	0.0001
amoxicillin	Hyperkinesia	0.0001	0.0001	0.0001
amoxicillin	Hypersensitivity	0.0001	0.0001	0.0001
amoxicillin	Immune system disorder	0.0001	0.0001	0.0001
amoxicillin	Jaundice cholestatic	0.0001	0.0001	0.0001
amoxicillin	Leukocytoclastic vasculitis	0.0001	0.0001	0.0001
amoxicillin	Leukopenia	0.0001	0.0001	0.0001
amoxicillin	Mucocutaneous candidiasis	0.0001	0.0001	0.0001
amoxicillin	Nausea	0.00653595	0.013245	0.009890475
amoxicillin	Nephritis interstitial	0.0001	0.0001	0.0001
amoxicillin	Neutropenia	0.0001	0.0001	0.0001
amoxicillin	Pruritus	0.01	0.01	0.01
amoxicillin	Renal failure	0.0001	0.0001	0.0001
amoxicillin	Renal impairment	0.0001	0.0001	0.0001
amoxicillin	Serum sickness	0.0001	0.0001	0.0001
amoxicillin	Stevens-Johnson syndrome	0.0001	0.0001	0.0001
amoxicillin	Thrombocytopenia	0.0001	0.0001	0.0001
amoxicillin	Tongue discolouration	0.0001	0.0001	0.0001
amoxicillin	Tooth discolouration	0.0001	0.0001	0.0001
amoxicillin	Toxic epidermal necrolysis	0.0001	0.0001	0.0001
amoxicillin	Tubulointerstitial nephritis	0.0001	0.0001	0.0001
amoxicillin	Urticaria	0.01	0.01	0.01
amoxicillin	Vomiting	0.00662252	0.0163399	0.010987473333333332
amoxicillin	Vulvovaginal mycotic infection	0.0198675	0.0261438	0.02300565
amphotericin	Abdominal pain	0.07	0.218023	0.154182
amphotericin	Anaemia	0.267	0.479	0.39433333333333326
amphotericin	Anorexia	0.096	0.14	0.11699999999999999
amphotericin	Anxiety	0.11	0.137	0.1235
amphotericin	Asthenia	0.108	0.131	0.1195
amphotericin	Asthma	0.012	0.051	0.0315
amphotericin	Back pain	0.073	0.12	0.0965
amphotericin	Blood alkaline phosphatase increased	0.192	0.222	0.20700000000000002
amphotericin	Blood creatinine increased	0.0	0.487	0.2504471923076923
amphotericin	Blood urea increased	0.074	0.311047	0.18742285714285714
amphotericin	Body temperature increased	0.0699708	0.909884	0.30562532777777773
amphotericin	Chest pain	0.116	0.12	0.118
amphotericin	Chills	0.06	0.897	0.3867164434782609
amphotericin	Confusional state	0.038	0.134	0.1002
amphotericin	Constipation	0.149	0.207	0.169
amphotericin	Cough	0.021	0.218023	0.14240942857142855
amphotericin	Cough increased	0.021	0.218023	0.14240942857142855
amphotericin	Creatinine increased	0.0	0.487	0.2504471923076923
amphotericin	Decreased appetite	0.096	0.14	0.11699999999999999
amphotericin	Dermatitis	0.046	0.248	0.17919990000000002
amphotericin	Diarrhoea	0.0348837	0.303207	0.17832326666666665
amphotericin	Dizziness	0.07	0.103	0.08600000000000001
amphotericin	Dyspnoea	0.0246914	0.291	0.1341709909090909
amphotericin	Epistaxis	0.148688	0.201	0.17481724999999998
amphotericin	Feeling abnormal	0.038	0.134	0.1002
amphotericin	Fluid overload	0.122	0.154	0.138
amphotericin	Gastrointestinal haemorrhage	0.099	0.113	0.10600000000000001
amphotericin	Gastrointestinal pain	0.07	0.218023	0.154182
amphotericin	Haematuria	0.14	0.14	0.14
amphotericin	Headache	0.198	0.209302	0.20363825
amphotericin	Hyperbilirubinaemia	0.0	0.192	0.09031473333333333
amphotericin	Hyperglycaemia	0.0758017	0.27907	0.17525655555555555
amphotericin	Hyperhidrosis	0.07	0.108	0.089
amphotericin	Hypernatraemia	0.041	0.11	0.0755
amphotericin	Hypertension	0.0233236	0.231	0.13052794285714286
amphotericin	Hyperventilation	0.0116618	0.09	0.03961608
amphotericin	Hypocalcaemia	0.128	0.209302	0.17456785714285714
amphotericin	Hypokalaemia	0.0246914	0.511	0.293577875
amphotericin	Hypomagnesaemia	0.204	0.489	0.3002708571428571
amphotericin	Hyponatraemia	0.085	0.116	0.09766666666666668
amphotericin	Hypotension	0.0123457	0.215116	0.10156704285714287
amphotericin	Hypoxia	0.00291545	0.205	0.071708195
amphotericin	Infection	0.069	0.128	0.1036
amphotericin	Insomnia	0.142	0.221	0.18239999999999998
amphotericin	Leukopenia	0.151	0.172	0.16433333333333333
amphotericin	Liver function test abnormal	0.043	0.128	0.08766666666666667
amphotericin	Lung disorder	0.0	0.178	0.08536229999999999
amphotericin	Nausea	0.0	0.397	0.17260787222222226
amphotericin	Nephropathy toxic	0.187	0.337	0.262
amphotericin	Nephrotoxicity	0.187	0.337	0.262
amphotericin	Oedema	0.143	0.148	0.1455
amphotericin	Oedema peripheral	0.146	0.172	0.15899999999999997
amphotericin	Pain	0.128	0.14	0.134
amphotericin	Phlebitis	0.093	0.253	0.15066666666666664
amphotericin	Phosphatase alkaline increased	0.192	0.222	0.20700000000000002
amphotericin	Pleural effusion	0.096	0.125	0.1105
amphotericin	Procedural complication	0.081	0.103	0.09333333333333334
amphotericin	Pruritus	0.102	0.108	0.105
amphotericin	Rash	0.046	0.248	0.17919990000000002
amphotericin	Renal failure acute	0.0123457	0.0769231	0.0375994
amphotericin	Respiratory failure	0.0123457	0.0512821	0.03783646
amphotericin	Rhinitis	0.11	0.111	0.1105
amphotericin	Rigors	0.06	0.897	0.36764285714285716
amphotericin	Sepsis	0.0235294	0.14	0.0755338
amphotericin	Sweating	0.07	0.108	0.089
amphotericin	Tachycardia	0.0233236	0.231	0.1494151777777778
amphotericin	Thrombocytopenia	0.058	0.128	0.085
amphotericin	Vomiting	0.0116618	0.439	0.15752076842105267
amprenavir	Abdominal pain	0.0	0.02	0.01
amprenavir	Affective disorder	0.04	0.13	0.08
amprenavir	Angioedema	0.01	0.01	0.01
amprenavir	Asthenia	0.01	1.0	0.3433333333333333
amprenavir	Blood triglycerides increased	0.4	0.56	0.48750000000000004
amprenavir	Dermatitis	0.02	1.0	0.22
amprenavir	Diarrhoea	0.05	1.0	0.44571428571428573
amprenavir	Fatigue	0.01	1.0	0.3433333333333333
amprenavir	Flatulence	1.0	1.0	1.0
amprenavir	Gastrointestinal pain	0.0	0.02	0.01
amprenavir	Headache	0.02	1.0	0.2725
amprenavir	Hyperbilirubinaemia	0.01	0.01	0.01
amprenavir	Hypercholesterolaemia	0.01	0.15	0.096
amprenavir	Hyperglycaemia	0.01	0.58	0.394
amprenavir	Hypertriglyceridaemia	0.4	0.56	0.48750000000000004
amprenavir	Inflammation	1.0	1.0	1.0
amprenavir	Loose stools	0.32	0.6	0.47250000000000003
amprenavir	Nausea	0.04	1.0	0.29
amprenavir	Opportunistic infection	1.0	1.0	1.0
amprenavir	Paraesthesia	0.01	0.31	0.13625
amprenavir	Rash	0.02	1.0	0.22
amprenavir	Taste disorders	0.01	0.08	0.045
amprenavir	Transaminases increased	0.01	0.01	0.01
amprenavir	Vomiting	0.02	1.0	0.26833333333333337
amsacrine	Anaemia	0.1	0.1	0.1
amsacrine	Arrhythmia	0.01	0.01	0.01
amsacrine	Blood bilirubin increased	0.3	0.3	0.3
amsacrine	Confusional state	0.1	0.1	0.1
amsacrine	Convulsion	0.1	0.1	0.1
amsacrine	Dizziness	0.1	0.1	0.1
amsacrine	Feeling abnormal	0.1	0.1	0.1
amsacrine	Headache	0.1	0.1	0.1
amsacrine	Hypersensitivity	0.004	0.004	0.004
amsacrine	Paraesthesia	0.1	0.1	0.1
amsacrine	Vision blurred	0.1	0.1	0.1
anagrelide	Abdominal discomfort	0.05	0.05	0.05
anagrelide	Abdominal pain	0.165	0.17	0.1675
anagrelide	Abnormal vision	0.05	0.05	0.05
anagrelide	Alopecia	0.05	0.05	0.05
anagrelide	Amblyopia	0.05	0.05	0.05
anagrelide	Amnesia	0.05	0.05	0.05
anagrelide	Anaemia	0.05	0.05	0.05
anagrelide	Angina pectoris	0.05	0.05	0.05
anagrelide	Anorexia	0.06	0.077	0.0685
anagrelide	Arrhythmia	0.05	0.05	0.05
anagrelide	Arthralgia	0.05	0.05	0.05
anagrelide	Arthritis	0.05	0.05	0.05
anagrelide	Asthenia	0.231	0.231	0.231
anagrelide	Back pain	0.059	0.06	0.0595
anagrelide	Body temperature increased	0.089	0.09	0.0895
anagrelide	Bone pain	0.05	0.05	0.05
anagrelide	Bronchitis	0.05	0.05	0.05
anagrelide	Cardiac failure	0.05	0.05	0.05
anagrelide	Cellulitis	0.05	0.05	0.05
anagrelide	Chest pain	0.08	0.08	0.08
anagrelide	Chills	0.05	0.05	0.05
anagrelide	Confusional state	0.05	0.05	0.05
anagrelide	Conjunctivitis	0.05	0.05	0.05
anagrelide	Constipation	0.05	0.05	0.05
anagrelide	Cough	0.06	0.063	0.0615
anagrelide	Cramps of lower extremities	0.05	0.05	0.05
anagrelide	Decreased appetite	0.06	0.077	0.0685
anagrelide	Dermatitis	0.08	0.08	0.08
anagrelide	Diarrhoea	0.24	0.257	0.2485
anagrelide	Discomfort	0.06	0.064	0.062
anagrelide	Distress gastrointestinal	0.05	0.05	0.05
anagrelide	Dizziness	0.05	0.154	0.118
anagrelide	Dyspepsia	0.052	0.06	0.055999999999999994
anagrelide	Dysphagia	0.05	0.05	0.05
anagrelide	Dyspnoea	0.11	0.119	0.11449999999999999
anagrelide	Dysuria	0.02	0.02	0.02
anagrelide	Ear disorder	0.05	0.05	0.05
anagrelide	Ecchymosis	0.05	0.05	0.05
anagrelide	Epistaxis	0.05	0.05	0.05
anagrelide	Eructation	0.05	0.05	0.05
anagrelide	Eye disorder	0.05	0.05	0.05
anagrelide	Feeling abnormal	0.05	0.064	0.057999999999999996
anagrelide	Flatulence	0.102	0.11	0.106
anagrelide	Fluid retention	0.2	0.2	0.2
anagrelide	Gastritis	0.05	0.05	0.05
anagrelide	Gastrointestinal haemorrhage	0.05	0.05	0.05
anagrelide	Gastrointestinal pain	0.165	0.17	0.1675
anagrelide	Haematuria	0.02	0.02	0.02
anagrelide	Haemoglobin	0.05	0.05	0.05
anagrelide	Haemorrhage	0.05	0.05	0.05
anagrelide	Headache	0.435	0.45	0.4425
anagrelide	Hyperhidrosis	0.05	0.05	0.05
anagrelide	Hypertension	0.05	0.05	0.05
anagrelide	Hypotension	0.05	0.05	0.05
anagrelide	Ill-defined disorder	0.06	0.064	0.062
anagrelide	Incontinence	0.05	0.05	0.05
anagrelide	Infection	0.05	0.05	0.05
anagrelide	Influenza like illness	0.05	0.05	0.05
anagrelide	Influenza-like symptoms	0.05	0.05	0.05
anagrelide	Insomnia	0.05	0.05	0.05
anagrelide	Loss of consciousness	0.05	0.05	0.05
anagrelide	Malaise	0.06	0.064	0.062
anagrelide	Melaena	0.05	0.05	0.05
anagrelide	Migraine	0.05	0.05	0.05
anagrelide	Muscle spasms	0.05	0.05	0.05
anagrelide	Musculoskeletal discomfort	0.05	0.05	0.05
anagrelide	Myalgia	0.05	0.05	0.05
anagrelide	Nausea	0.15	0.171	0.1605
anagrelide	Neck pain	0.05	0.05	0.05
anagrelide	Nervousness	0.05	0.05	0.05
anagrelide	Nocturia	0.05	0.05	0.05
anagrelide	Oedema peripheral	0.085	0.085	0.085
anagrelide	Orthostatic hypotension	0.05	0.05	0.05
anagrelide	Pain	0.15	0.15	0.15
anagrelide	Palpitations	0.261	0.27	0.2655
anagrelide	Paraesthesia	0.059	0.07	0.0645
anagrelide	Pharyngitis	0.068	0.07	0.069
anagrelide	Photosensitivity	0.05	0.05	0.05
anagrelide	Photosensitivity reaction	0.05	0.05	0.05
anagrelide	Pneumonia	0.05	0.05	0.05
anagrelide	Pollakiuria	0.05	0.05	0.05
anagrelide	Pruritus	0.055	0.06	0.057499999999999996
anagrelide	Rash	0.08	0.08	0.08
anagrelide	Renal failure	0.05	0.05	0.05
anagrelide	Rhinitis	0.05	0.05	0.05
anagrelide	Shock	0.05	0.05	0.05
anagrelide	Sinusitis	0.05	0.05	0.05
anagrelide	Skin discolouration	0.05	0.05	0.05
anagrelide	Skin ulcer	0.05	0.05	0.05
anagrelide	Somnolence	0.05	0.05	0.05
anagrelide	Sweating	0.05	0.05	0.05
anagrelide	Syncope	0.05	0.05	0.05
anagrelide	Tachycardia	0.07	0.075	0.07250000000000001
anagrelide	Tension	0.05	0.05	0.05
anagrelide	Thrombocytopenia	0.09	0.09	0.09
anagrelide	Tinnitus	0.05	0.05	0.05
anagrelide	Urethral disorder	0.05	0.05	0.05
anagrelide	Urinary tract disorder	0.05	0.05	0.05
anagrelide	Urinary tract infection	0.05	0.05	0.05
anagrelide	Urticaria	0.083	0.083	0.083
anagrelide	Visual impairment	0.05	0.05	0.05
anagrelide	Vomiting	0.07	0.097	0.0835
anagrelide	Weight increased	0.05	0.05	0.05
anastrozole	Abdominal pain	0.0569106	0.0892049	0.07370249000000001
anastrozole	Accidental injury	0.0979315	0.100582	0.09925675
anastrozole	Acute coronary syndrome	0.0129282	0.0135834	0.013255800000000002
anastrozole	Anaemia	0.0365459	0.0513898	0.04396785
anastrozole	Angina pectoris	0.0180995	0.0242561	0.0211778
anastrozole	Anorexia	0.04	0.0900196	0.065102425
anastrozole	Anxiety	0.05	0.063066	0.05708103333333333
anastrozole	Arthralgia	1e-06	0.359314	0.15545483333333335
anastrozole	Arthritis	0.14	0.165589	0.14980533333333335
anastrozole	Arthropathy	0.0504202	0.066947	0.05771771999999999
anastrozole	Asthenia	0.003	0.19	0.13571106666666666
anastrozole	Back pain	0.0750988	0.133072	0.10529954999999999
anastrozole	Bone pain	0.0597931	0.12	0.08432639
anastrozole	Breast neoplasm	0.0449257	0.0530401	0.048982899999999996
anastrozole	Breast pain	0.0546218	0.0811772	0.0678995
anastrozole	Breast tenderness	0.07	0.07	0.07
anastrozole	Bronchitis	0.0494505	0.0540103	0.051730399999999996
anastrozole	Cardiovascular disorder	0.002	0.0443079	0.0279195625
anastrozole	Cataract	0.002	0.0707822	0.044354533333333335
anastrozole	Cataract specified	0.0588616	0.0688429	0.0625121
anastrozole	Chest pain	0.0484809	0.0731707	0.06142954444444445
anastrozole	Constipation	0.0687023	0.129159	0.08488998
anastrozole	Coronary artery disease	0.0084088	0.00872657	0.008567684999999998
anastrozole	Cough	0.07	0.11	0.08798676
anastrozole	Cough increased	0.07	0.108696	0.08554084444444444
anastrozole	Cyst	0.0446313	0.0523594	0.04849535
anastrozole	Decreased appetite	0.04	0.0900196	0.065102425
anastrozole	Depression	0.0197628	0.133571	0.05918898888888889
anastrozole	Dermatitis	0.0572519	0.125081	0.0832630375
anastrozole	Diarrhoea	0.027668	0.085705	0.06639564
anastrozole	Digestion impaired	0.21	0.383562	0.29826624999999996
anastrozole	Dizziness	0.0430528	0.076326	0.05926834999999999
anastrozole	Dry mouth	0.04	0.06	0.05055845
anastrozole	Dyspepsia	0.0546218	0.383562	0.25073753
